Title,Rating,Review Date,Current or Past Employee,Employee Title,Location,Recommends,Outlook,Approves of CEO,Full-Time or Part-Time,Time Employeed,Pros,Cons,Advice to Management
"""Takeout""",3.0," May 26, 2015",Past,Anonymous Employee,,No,Neutral,Neutral,Full-time,,Bjs was a great restaurant to start with as a first time job. I was able to move up fairly quickly.,Schedule was sometimes variant and we never had enough employees.,Need to make sure you have enough employees so that if someone gets sick or needs a last minute day off there should be enough people that are willing to cover.
"""Kitchen Manager""",1.0," Jun 15, 2015",Past,Kitchen Manager,"San Jose, CA",Yes,Yes,Neutral,Part-time,More than a year,Decent starting pay with experience.,"No breaks, overworked hourly employees, micromanaged from the top down, no advancement in California. A lot of 9-10 days working straight through. Habitually understaffed which makes for a very stressful work environment.",
"""Bartender""",5.0," May 5, 2015",Current,Anonymous Employee,,Yes,Yes,Yes,Part-time,Less than a year,Easy money fast paced and friendly staff,Some long hours and some disgruntled customers,Great job
"""Friendly co-workers, HORRIBLE MANAGEMENT.""",1.0," Jun 8, 2015",Past,Server/Waiter,"Laurel, MD",No,Neutral,Neutral,Part-time,More than 3 years,"Friendly and helpful co-workers. Okay food, large menu","Horrible management, favoritism is played 24/7",Give everyone a fair shot. Don't play favorites. Entire staff can see it and it brings morale down because no matter how hard we try we know it really won't make a difference.
"""Hard to make money when the rest of the restaurant can't perform""",2.0," May 14, 2015",Past,Server,"Sparks, NV",No,No,Neutral,Full-time,More than a year,cash tips<br>flexible hours<br>meeting new people,managers lack motivation<br>kitchen constantly behind and preparing food incorrectly<br>no breaks<br>servers get sat guests back to back with no time to provide service to others,"instead of seating people so they can't be helped immediately by their server, try seating with time in between so guests get better service and servers make better tips. Find a way to help your kitchen staff function at a normal pace. Twenty-five minutes or longer for food is unacceptable especially if it still comes out wrong after that amount of time. Lastly, happy employees make happy guests. Try to care more and be fair."
"""Experience as a Server & Bartender""",3.0," May 14, 2015",Current,Server/Bartender,"Gainesville, VA",Yes,Yes,Neutral,Full-time,More than a year,"The restaurant has a strong and popular beer selection for most guests who drink it; because of this, it creates both interest in return and reliable sales.","The restaurants are too large and, at times, too busy to accommodate to ""gold standard"".<br><br>Quality of product can greatly fluctuate and the system in place for getting prepared food from the kitchen to the table is weak.<br><br>Bartenders and other ""tipped out"" employees are never guaranteed their money from other team members. The suggested amount to tip out is 0.5%, which while low already, can never be enforced by management.<br><br>Bartenders are limited in their abilities replenish stock for both alcoholic and non-alcoholics, therefore heavily dependent upon management support. This then leads to issues with speed of service.<br><br>Bartenders are evaluated by secret shoppers, and held accountable for every step in a lengthy service process.","Listen to the people of your restaurant and less of corporate powers. If the restaurants glassware is limited to serving less than 10% of total restaurant guests, order glassware regardless of what ""numbers"" your corporate budgets suggest."
"""Good place to work""",4.0," Apr 23, 2015",Current,Food Server,"Arcadia, CA",Yes,Yes,Neutral,Full-time,Less than a year,"Free food , friends and family discount , discount on kegs , meeting new people , fun coworkers , good to build experience","A little unorganized sometimes , I feel like it can be better taken care of sometimes , not all the times",Keep up the good work
"""a incredibly intense experience.""",3.0," May 7, 2015",Past,Service Manager,"Kissimmee, FL",Yes,Neutral,Neutral,Full-time,,Great tools to execute the shifts. Benefits were good. Bonuses were attainable. Good way of life except for the general managers. They lived in their restaurant.,"Gms were in the woods constantly which interferes with training passionate managers. Too many systems to manage, menu to vast, labor costs are a struggle which turned your km into an hourly.",
"""Server""",4.0," Apr 12, 2015",Current,Anonymous Employee,,Yes,Yes,Neutral,Full-time,Less than a year,Financially one of the best restaurants to work at in Central Ohio. Very easy sidework,"Favortism, working your way up through lunch shifts. Food running shifts. Can be intimidating",
"""No hours.""",1.0," May 19, 2015",Current,Line/Prep Cook,"Phoenix, AZ",No,Yes,Neutral,Full-time,More than a year,Some managers are nice. Awesome place to work with. Cons outweigh the pros. Looking to work for a great company BJ's is not it.,Not willing to help people with learning disabled of problems. Company doesn't understand people with dyslexia or learning several problems need more than one day of training.,
"""Its the place for someone who enjoys ""work""""",3.0," Apr 22, 2015",Past,Senior Manager,"San Mateo, CA",No,Neutral,Neutral,Part-time,,It pays good.<br>Good benefits.<br>It teaches you a thing or two with the volume that they do even when you have experience.<br>There's a system in place for everything.,"Long work hours.<br>Managers comes and goes.<br>Very little supervision from the upper management to keep the check and balances of the restaurant, very heavily relied on the general managers who could not be very good.<br>It feels like managers are a just a number to them, the work that you do goes unnoticed a lot of the time.","Treat people how you would like to be treated, sometimes as simple as ""how are you doing?"" can go a long way about finding out whats going on in your restaurant from the people that works in the building."
"""Good money, but bad restaurant politics.""",4.0," Mar 26, 2015",Past,Server Trainer,"Houston, TX",Yes,Neutral,Neutral,Part-time,More than 8 years,"If you prove you're a hard worker then you can oftentimes get a good schedule. The amount of money you make is up to you. Several different managers so it gives you more opportunity to have one you get along with well. There was also room for upward movement. If you worked there for about a year and REALLY liked you, they'd move you to bar tending (A LOT more money), then supervising, then management.","Very restaurant politic-y. Some of the managers only paid attention to the girl servers who flirted with them, and if you didn't follow suit your schedule could suffer greatly.",Don't let higher management who got in trouble for sexual harassment with an underage hostess come back and work at middle management when they have constant contact with even more girls.
"""Robots serving cisco products.""",2.0," Apr 16, 2015",Past,Cocktailer,"Tukwila, WA",No,Neutral,Neutral,Full-time,More than a year,Good training for high volume serving.<br>many locations to transfer to,"Secret shoppers<br>unrealistic expectations.<br>Mediocre bill averages.<br>low quality product, beer and food<br>server scripts that turn you in to a robot server... ""have you made your selections?""","Toss out the script! suggesting a beer, a cocktail and an appetizer on the first touch (has to be within 2 mins) and having to immediately follow with ""have you made your selections"" is absurd. I ignored all this, had top sales in the cocktail section, had loads of return clientele yet never got promoted to bartender simply because i never got a perfect secret shop. Which was only because i refused to follow the script. You hire waiters and bartenders to have a personality... let them use it."
"""Bus boy; pretty much at the bottom of the totem pole.""",3.0," Apr 14, 2015",Past,Bus Boy,,Yes,Yes,Neutral,Part-time,More than a year,"The people you work with are awesome, every once in a while you get a gem of a manager to work with, which makes days or nights so much better.<br>as a bus boy you get a cut of the tips for your shift, depending on how busy it is they can really add up.","For every great manager there is probably two or three that are just terrible.<br>Being a bus boy can be hard work, but its manageable if your work alongside a group that actually helps.<br>Never knew how corporate BJ's could be, I would constantly get told about having the right collared shirt to wear.","Don't belittle those at the bottom, they might not run the restaurant, but they make the restaurant run."
"""General Manager""",4.0," Mar 30, 2015",Current,General Manager,,Yes,Yes,Neutral,Full-time,More than a year,"Can't beat the pay, pretty good overall culture",Quality of life not exactly what they preachc,
"""Chaos and mediocre tips""",2.0," Apr 8, 2015",Past,Anonymous Employee,"Los Angeles, CA",No,Neutral,Neutral,Part-time,Less than a year,The food discount and any food related thing. Some parties or events can be lucrative but they are few and far between and location dependent.,"Management fails to see the big picture. They give too many tables and the people coming in are not the best kind. They complain about everything and management can never please them. The tips are terrible or decent but never amazing. The servers are all out for themselves because they fight for the best shifts and everything is favoritism and competition. There are lots of people who want to see you fail and it makes it hard to work, at least at the Los Angeles location I worked at. Even the managers were very unprofessional and disorganized at times because of the over micro managing of everything.","Take control of the restaurant, seat servers fairly and with some organization. Fire the people that are fake and hire actual good people. Teach the team and unity mentality rather than the ""compete for shifts"" one. Hire more mature and intuitive managers. Ignore some petty crap and treat your servers better; they put up with so much crap and deserve to not be blamed for every dudes unhappy meal. Change your uniforms, are you trying to be a steakhouse or are you a sports bar?"
"""Unorganized""",3.0," Apr 6, 2015",Past,Host,"San Antonio, TX",No,Neutral,Yes,Part-time,More than a year,Free food if you're a host<br>Likely to give you time off,Never prepared for the weekends<br>Short on staff<br>Not enough people on for the weekends,Please make sure that your managers are prepared for any situation it is very hard to work in an environment when not even the people higher up in the company know what to do
"""Great company to grow with.""",4.0," Mar 11, 2015",Current,Operations,,Yes,Yes,Neutral,Full-time,More than 5 years,Plenty of opportunity to move around the country. Pays good. Good benefits. Free meals at restaurants.,"Company is expanding and going through changes, which is making it into a company that doesn't care about their employees.","Upper management should know how to manage others in their department. Openings in other departments are given to people with connections to the head of that department, instead of putting the word out about the open position."
"""The experience here is good after it has been established longer than 2 years.""",3.0," Mar 17, 2015",Current,Server Assistant,"Katy, TX",Yes,No,Neutral,Part-time,Less than a year,"Cash pay each day worked if a server, busser or bartender","Customers do not always tip, high turnover in certain positions",Management are sometimes disconnected from employee issues
"""Server Assistant""",3.0," Mar 16, 2015",Current,Anonymous Employee,,No,Neutral,Neutral,Full-time,More than 3 years,Make good money in tips,Scheduling is very random<br>Never know how long you will be working,
"""Just a simple regular server job.""",2.0," Mar 10, 2015",Past,Server,"Torrance, CA",No,Yes,Yes,Full-time,,"Good money, nice coworkers, great food","Horrible clientele, bad managers, late hours",
"""Good place to work""",4.0," Feb 1, 2015",Past,Take Out Server,"Tucson, AZ",Yes,Yes,Neutral,Full-time,Less than a year,Free food at every shift,Management can be a little abrasive,Always treat team members with respect.
"""Host""",4.0," Jan 30, 2015",Past,Host,"Costa Mesa, CA",Yes,Neutral,Neutral,Full-time,Less than a year,"Decent salary.<br>Flexible hours, easy to trade hours with colleages.<br>Enjoyable place to work, good fun with other staff and managers.","Tips are few and far between, but that's expected from a host.<br>Didn't get a lot of hours, maybe 25 a week during summer.<br>Job was not challenging most of the time, mainly during the week.","Had trouble getting authorised because of my situation as temporary visa holder, but some restaurants need summer staff. Don't make it difficult! My manager hated it!"
"""Great experience""",3.0," Feb 14, 2015",Current,Server,,Yes,Neutral,Neutral,Part-time,Less than a year,"Good money, awesome coworkers, very rewarding",Challenging and stressful at times but what job isn't? You also have to deal with people so it's a struggle to stay sane.,More outside events
"""Good company""",4.0," Jan 27, 2015",Current,Anonymous Employee,,Yes,Yes,Neutral,Part-time,More than 5 years,Quality systems. They compensate well.,Senior leadership is more interested in share holders. Cutting costs. Food quality going down some.,
"""Good money""",2.0," Jan 9, 2015",Current,Food Server,"Roseville, CA",Yes,No,Neutral,Part-time,Less than a year,Short shifts and flexible hours,No stability and not consistent,
"""I'd rather be in the unemployment line""",1.0," Jan 27, 2015",Past,Anonymous Employee,,No,No,Neutral,Part-time,More than 3 years,Absolutely nothing this place is the worst at keeping their ideals about teamwork and customer satisfaction. Please do not work here.,If you want to work in a place where there's no communication and you're coworkers and managers treat you like you're the scum in the bottom of the sink then this is the place for you. First and foremost I'll address the situation about management. The manager's are closed minded bigots who treat anyone that is different from what they see as either a beauty female or a handsome man then you will definitely be looked down upon for trying to be your own person. Not to mention when someone does something wrong they will call you out and make you feel like a child. When in all actuality they mess up all the time but if you say anything to them about it then you are going to be treated like their own personal slave and have to work in a state of fear hoping they don't make your day a living hell. They abuse their power and will sleep around with their staff promising them shorter shifts or special advantages. Next I will move on to the regular staff. If you have ever seen the drama that goes on with teenage girls in highschool is just like that. Rumors spread like wildfire. In this place either you're in or you're not if you are lucky enough you will find a click that will have your back only to place a knife in it the first chance they get. I had to leave this work environment for my physical and mental health. If you want to work in the food industry I would suggest McDonald's,
"""Their was poor management and favoritism amongst managers and kitchen employees.""",1.0," Jan 28, 2015",Past,Prep Cook,"Vacaville, CA",No,Neutral,Neutral,Full-time,More than a year,Servers and certain kitchen staff were really polite and helpful.,"Management is so poor many people quit without notice, people became angry or frustrated when asking for help from the managers. Managers made me have an emotional break down 4 times. Not family oriented what so ever. Also understaffed in the kitchen.","Learn to prioritize, help your employees, don't degrade people, and become more family oriented, hire more employees."
"""Great potential""",3.0," Jan 3, 2015",Current,Server/Bartender,"Thousand Oaks, CA",Yes,Neutral,Neutral,Part-time,More than a year,"Flexible hours, flexible scheduling, short shifts, income every shift, constant movement, great pay, discounted food, and frequent opportunities for promotions.","Management makes or breaks locations, constant movement, late shifts, high stress, lack of benefits (short shifts makes it hard to meet hourly quota per week to qualify for them).","Tends to take advantage of hard working servers, running them into the ground and not rewarding individuals for their sacrifices. Focus more on employee's moral and needs instead of making bonuses each quarter and there should be no problems making said bonuses. Also, NEVER manage under the philosophies; ""out with the old, in with the new"" and ""the customer is always right"" as they tend to alienate your employees and kill morale."
"""Doesnt even get a one star rating!!!""",1.0," Jan 17, 2015",Current,Server,"Irvine, CA",No,No,Neutral,Part-time,More than 3 years,Most of the severs are really awesome people and I thought most of the guests were lovely.,"Unfortunately no one seems to know how to run a floor. servers standing around without a table while the hostess slam someone else station. Managers falling you around rushing u off clock then making you transfer all your tables after you have stood around for hours essentially making 15.00 on a bumping wall to wall Friday night. Potential to make money is there, but unless you belong to a small group of the privileged its almost impossible to see it. The worst thing is the ignorance of there own principles. Compassion is supposed to be one of the companies core values. I worked for the company for two years. for one year of that i started battling a serious and most likely will be fatal liver cancer. Due to medications and treatment i lost a lot of weight and developed chronic fatigue and anxiety. My guests never felt it not one guest complaint. Rather than approaching me and asking if everything was going ok i had my section and my schedule cut. When i tried to approach then i was told really dont wanna here it pull it together. i was there a year at this point. This just makes me so sad that people who see u everyday have so little compassion.","Figure out that the guest satisfaction is more important that the bottom line. Take responsibility for you floors not only when they work , but own it when they dont instead of blaming the hourly employees."
"""Worked here for nearly 2 years""",4.0," Dec 10, 2014",Current,Front of House Server Trainer,"Round Rock, TX",Yes,Yes,Yes,Full-time,More than a year,"Most coworkers are great, flexible schedule",As with any serving job you never know what you will make,Make sure your employees are cleaning things to standard.
"""Hostess""",3.0," Dec 16, 2014",Past,Hostess,"Bakersfield, CA",Yes,Neutral,Neutral,Part-time,More than a year,"Very flexible hours, works around school schedule and willing to give imd off",Managers will easily send uu home in 2 hours if there is down time,
"""Not a bad place to start serving!""",4.0," Nov 30, 2014",Past,Server,"Round Rock, TX",Yes,Yes,Yes,Part-time,More than a year,"Great atmosphere, team members are for the most part very nice and easy to get along with as well as management. Very easy to cover/pick up shifts with the use of your mobile phone.",Nothing out of the ordinary. Large tables can be very hectic and demanding but that's expected. A lot of servers can reduce the amount of hours you can pick up.,
"""Na""",5.0," Nov 29, 2014",Current,Anonymous,,Yes,Neutral,Neutral,Full-time,Less than a year,Good tip only in good sections.,You will have bad days,
"""Lack of respect""",1.0," Jan 3, 2015",Current,Server,"Round Rock, TX",No,No,Neutral,Part-time,More than 10 years,Basically picking you own schedule and choosing when you want to work.,Dont get me wrong the Bj's i started off at in San Antonio was awesome. Every one was lively and did their part a a team. This location in Round Rock is so off. A bunch of slackers are somehow still employed and we run through new hires like nothing.,Take care of the employees who take care of the customers.
"""Work hard and no one will notice outside the restaurant.""",4.0," Nov 25, 2014",Current,Team Member,"Orange, CA",No,Neutral,Neutral,Full-time,More than 5 years,"flexibility, fun environment, most managers care for the employees. Discount when you are working or when you visit as a guest.","Very corporate, feels like the corporate leaders do not care about the restaurant employees. White shirts while serving!! No protection serving large parties they do not allow an automatic added gratuity. Health insurance requirements can not be met by the majority of employees. They over work there managers to exhaustion. High expectations but not all the tools are available to meet them. No backbone to guests. People lie and complain to get free items. Too many changes with little notice and roll outs are poorly executed.",Be more understanding of your employees. Protect them with benefits. Allow automatic gratuity on large parties. Stand behind your service even if it costs the company more money. Not fair for someone to work a large party and not be compensated correctly.
"""Great company for the most part.""",3.0," Nov 23, 2014",Current,Manager,"Palmdale, CA",No,No,Neutral,Part-time,More than a year,"Ability to rise in the ranks is easy. Busy, fast paced.",Horrible General Manager. Corporate does not care about the many complaints from guests and team members. This man has no business running this restaurant. He fudges his numbers and lies. He never takes reaponsibilty for anything and always places blame. Guests can not stand him and the team members hate him. He bullies his staff and makes threats.,Get rid of the current General Manager and watch Palmdale BJS take off again. It really is a shame to watch this place go slowly under and not have anyone in corporate care enough to rescue it.
"""It was an ok job""",3.0," Nov 23, 2014",Current,Host,"Katy, TX",Yes,No,Neutral,Part-time,More than 5 years,"Good hours, friendly coworkers, good money, easy to understand things","Horrible management, no overtime, hard to advance, a little short staffed currently",Get it together
"""It paid the bills""",3.0," Nov 15, 2014",Past,Server,"Huntington Beach, CA",No,Neutral,Neutral,Part-time,Less than a year,The best part of working here was the friendships I made with the guests and coworkers. The scheduling was very flexible so it was good work for those going through college.,The training program was a bit too fast and the menu is so large that most of the new servers were unprepared. You don't make good money until you get longer shifts and that can take months. The restaurant is neither upscale or casual so you get the worst of both worlds in terms of customers.,I think they have forgotten what has made them stand out and their constant need for change and menu additions proves that. Stop trying to please everyone and improve on the areas you already excel at.
"""Salinas location is the worst, terrible management""",2.0," Nov 15, 2014",Past,Server,"Salinas, CA",No,Neutral,Neutral,Full-time,More than a year,"Flexible hours, nice coworkers, new building","Bad location-- many customers leave little to no tip, so you're making close to minimum wage most of the time. Poor management-- managers play favorites, and are not well trained themselves. Management training program is a joke. Corporate doesn't seem to care if a location has a bad reputation and needs help to improve-- it's all about the profits they see. Responsible employees are forced to close nearly every night of the week, which would be nice if this resulted in more money at the end of the night. It didn't, and instead I had no social life. No upward mobility. Horrible break schedule, resulting in someone potentially ruining your customers' experience or you losing a table. Hard to even eat or drink while on break because of poorly-planned break system. The culture sounds nice based on what is printed on the cards employees have to carry, but it was awful working there. Forget taking vacation while working at BJ's-- I had my vacation approved two months in advance, only to be scheduled to work the entire two weeks of my vacation. Thank goodness my coworkers were eager to pick up shifts to supplement their meager wages...","Plan more before opening new locations-- will your employees be able to make a living wage working there? Also, develop a better management training program. Many managers I saw were cursing at employees, and were very unprofessional. I have seen better management at a mom-and-pop restaurant, and as a corporate chain restaurant BJ's should do better."
"""Overall good place to work""",4.0," Oct 28, 2014",Past,Anonymous Employee,,No,Neutral,Neutral,Full-time,More than 3 years,Decent compensation if working at a busy location. Easy scheduling. Monthly incentives.,Staff cut early leaving you with unrealistic section to attend to. 2 table section on weekend evenings due to large staff. Very corporate,Get to know your staff a little more. Control anger around employees.
"""Senior Manager""",2.0," Oct 16, 2014",Past,Senior Manager,"Menifee, CA",No,No,Yes,Part-time,Less than a year,The money and commission were good.,They don't have good upper management. A lot of issues that they don't fix.,Good place to get some experience. Hard place to work for.
"""Its just like reporting to prison for 8 hours a day""",2.0," Oct 8, 2014",Current,Prep Cook,"Henrico, VA",No,Neutral,Neutral,Part-time,More than a year,"Good pay, hours flexible, free meal on day you work and discount on off days","Lock you in building, no break at all. Cant even walk out back for a cig. I was blown away when I learned they were locking us in during our shift","Lossen up, come to reality. Treat your employees badly and they will report you on sites like this one"
"""Has a great atmosphere and plays great up-to-date music you van enjoy while eating.""",3.0," Oct 1, 2014",Current,Food Server,"Corpus Christi, TX",No,Yes,Neutral,Part-time,More than 3 years,Great music and atmosphere overall,"To many employees, Not enough hours. Some people have to work food runner shifts were you barely make minimum wage. You work harder then the servers and get paid less",Free Food for the food runners so its at least bearable
"""Good money, iffy managers""",3.0," Sep 30, 2014",Current,Take Out Server,"San Mateo, CA",No,No,Neutral,Part-time,More than a year,"Mostly organized, you get shifts, you get paid. You'll get fed up a lot (and I don't mean with just the irritating guests), but if you can shrug it off overnight, you'll last. If stuff builds and builds for you, it's not the job for you.","Managers seem to be trained poorly by corporate, so then it makes them bad managers, and then that makes mad employees, and then a lot of people quit. I've seen two waves of high numbers of people quitting at once because of management. We are still currently understaffed at my location, and it's been this way since April..","You need to give positive feedback too, if all we hear is negative, you have people turning away. And that is what's happening. I've stuck around because of the flexibility in time/hours, money and some of my coworkers. And my current GM is great, but doesn't have great support from the lower management."
"""review""",3.0," Sep 25, 2014",Current,Anonymous Employee,,Neutral,Neutral,Neutral,Part-time,,people are very very nice,costumers are very very rude,
"""I disliked the managment change""",2.0," Sep 23, 2014",Past,Takeout/Host,"San Antonio, TX",Yes,Yes,Yes,Full-time,More than 3 years,"A lot of people worked together, grew together and learned together. It was a very easy company to work. Loved the late night, alcohol and food as well as being about to get shifts picked up easily when working two jobs.","Management change forced many good working people to leave. With that being said, a lot of people left, new people came. It was a hectic training mess. Management was awful to begin with from being easily annoyed and frankly pissed off to being pushovers when it came to certain types of people..or genders.",
"""The Best and Worst""",3.0," Sep 22, 2014",Past,Anonymous Employee,,No,Neutral,Neutral,Part-time,More than a year,The place was nice and had a great variety of food and a cool vibe most of the time. One of the cooler restaurants.,The training was not as hands-on as it should of been and the managers were often unprofessional to the point that they could of been reported for harassment.,"I believe much of the management has changed now, but the unprofessionalism that went over-the-line to harassment for certain managers was unacceptable."
"""Hostess""",3.0," Sep 18, 2014",Past,Hostess,"Elk Grove, CA",No,Neutral,Neutral,Part-time,More than a year,I got along very well with the other hostesses and waitstaff.,Not fair to their employees. After working at BJ's for a year and a half I wanted to switch locations because I had moved. Instead of handling the situation in a professional manner the management wouldn't approve it or give me a good reason as to why they wouldn't. I went into my former and the location I wanted to move to several times only to be ignored. Very upsetting as I had worked there as head hostess for over a year.,Be fair to your employees!
"""Nice scheduling system, lots of hours.""",4.0," Sep 2, 2014",Current,Prep Cook,"Fort Collins, CO",Yes,Yes,Yes,Full-time,Less than a year,Easy hot schedules online system.<br>Easy to pick up shifts or get them covered.<br>High pay for someone with not is much kitchen experience.<br>Willing to work with availability<br>Great crew members,There are so many employees that individualized attention is hard to come by,This is an awesome and organized place. Just pay attention it each individual employee a little more.
"""if youwant to move up be a food runner""",2.0," Sep 10, 2014",Past,Host,"City of Industry, CA",No,Neutral,Neutral,Part-time,,Very easy job.Al you have to do is smile have a good attitude which are good fundamentals but if you want to eventually serve i would say start off as food runner.you get to learn the meals and get use to the fast paste atmosphere.,You only do so much work.you organize the restaurants seating .greet customers.,"Give the host tip instead of free food.I rather earn extra tip than get free food .Tip is a good motivation tool,it encourages you to go the extra mile.Even if its that waiter bringing in the tip and you get part of it can push you to go beyond just being a host and helping everyone out in order the overall Restaurant performance."
"""Great""",4.0," Aug 25, 2014",Current,Anonymous Employee,,Yes,Yes,Yes,Part-time,,Works with school schedule and make great tips,Large menu that you have to know all of it,
"""Work load is heavy but it is enjoyable.""",5.0," Aug 17, 2014",Current,Anonymous Employee,"Houston, TX",Yes,Yes,Yes,Full-time,More than a year,"Huge growth opportunities, new restaurant openings throughout the country. The future is very bright. The pay is higher then most in the industry","Late hours, heavy work load. The pizza slash sports bar style restaurant creates some late and long hours. Once you get that part down it is great!",
"""It's was an experience""",1.0," Sep 24, 2014",Current,"Bartender, Server",,No,Neutral,Neutral,Part-time,More than a year,Pretty good area money was good if you were on the floor,Management was unfair. A lot of favoritism they wouldn't acknowledge a good worker and give everything to the ones that didn't deserve it.. Made a lot of good servers that opened that restaurant leave. just very unprofessional even the general manager,Stop letting the power get to your head
"""learned alot""",3.0," Sep 2, 2014",Past,Server,"Sacramento, CA",No,Neutral,Neutral,Part-time,More than 3 years,"learned how to work a cash register , how to communicate efficiently with guests, how to work with a sense of urgency and be on my toes, learned to multitask, worked with my school schedule well and always gave me time off when i needed it (for the most part)<br><br>learned customer service skills i can use in any job and met alot of people through it that i love","physically and mentally tiring, having to wait on people and do tedious and mundane tasks at times, and feeling like i was not appreciated for the work i did, and also feeling like i could be easily replaced. corporate rules and regulations made it safe but also was annoying at times all the things we had to adhere to. not very personal. managers made it better though. most.",advice to my GM!! try and connect more and make an effort with your employees!! maybe theyll stick around longer if you try!!!
"""Very flexible schedule and fun to work with""",5.0," Aug 11, 2014",Current,Anonymous Employee,,No,Neutral,Neutral,Part-time,,Flexible Schedule<br>Good money<br>Fun staff<br>Hotschedule scheduling system is legit,Lower income guests who don't tip at times,
"""New style of casual dining and a fun atmosphere.""",5.0," Aug 7, 2014",Current,Server,"Lewisville, TX",Yes,Yes,Neutral,Part-time,More than 5 years,This company has provided me with a challenging work environment as well as job stability throughout the years I've dedicated to it.,"The fast paced work environment can take a physical toll after time. Additionally, the potential turn over rate can make team building a challenge.",The management staff should not change around restaurants as often.
"""Bj's Brewhouse is an excellent stepping stone for those that want to continue their career as a server.""",4.0," Aug 8, 2014",Current,Food Server,"Tukwila, WA",Yes,Yes,Neutral,Part-time,More than 5 years,The best thing about working for BJ's Restaurants is the flexibility in schedules. I often work from 5pm to 1am. Lots of room for growth within the company.,Some of the challenges with working for the company are the benefits and sometimes seasonal hours. You can work many hours during the Summer and Winter months.,I know this is a challenging opportunity for all management and I am very impressed with all management.
"""Great place to work, good food, good beer, good cocktails""",4.0," Aug 6, 2014",Current,FOH,"Chandler, AZ",Yes,Yes,Neutral,Part-time,More than 3 years,"Team atmosphere, mAnahement team is good and works hard.","Lot of things to remember, very corporate, do not hire the brightest people which unfortunately explains why people complain about the service.","Hire more talented individuals to keep people coming in the door, mainly in FOH. Or you could just fire those who suck."
"""Nice place, great people, too many managers.""",4.0," Aug 1, 2014",Past,Front of House Server Trainer,"Springdale, OH",Yes,Neutral,Yes,Full-time,More than 3 years,1. The money. 2. The people. 3. The food. I made great money to support my family. I had great co-workers that I maintain contact with for the most part. Their food is great! Standard benefits package was nice. I do not know if they still have it but it was free as long as I worked a minimum of 33 hours and signed up for it!,Somewhat unsteady shifts. Angry guests. In the first three years went through four general managers alone. Corporate brought in a manager from outside instead of internally. Eventually the manager who should have been promoted was.,
"""Great place to work""",4.0," Jul 24, 2014",Past,Line Cook,"Rancho Santa Margarita, CA",No,Neutral,Neutral,Part-time,More than a year,You stay busy as hell.,Poor communication unless your Hispanic.,Motivate your employees better.
"""I would rate Bj's originally as an excellent employer, but it has steadily gone down hill with corporate policy's""",3.0," Aug 10, 2014",Current,Bartender,"Chandler, AZ",Yes,Yes,Yes,Part-time,More than 10 years,I think that Bj's offers excellent flexibility and opportunity to make money. If you are a capable server or bartender you have definite opportunity to make money.,Very corporate and overall feeling that you are very replaceable and not important. Management is over worked and seems very frustrated with polices coming down to them. The overall feelings are stressful and not very fun.,Upper management needs to adjust their tactics for success. They are not encouraging and treat almost all staff as if they are replaceable and not needed. They need to create a better work environment and stop making every decision based off of stock price or analyst notes about company.
"""It's a fast paced job!""",4.0," Jul 20, 2014",Past,Hostess,"Torrance, CA",Yes,Neutral,Neutral,Part-time,More than a year,They give you pretty good hours. Pay is well.,Weekends can get crazy busy. Sometimes customers would be very rude. But that's working in any restaurant or customer service job.,Management was great.
"""Some stores have great managers, but the company has gone very corporate in the last few years.""",3.0," Aug 1, 2014",Past,Server,"Chandler, AZ",Yes,Neutral,Neutral,Full-time,More than 5 years,"cash every day, great co workers, they use HotSchedules so its very easy to request time off or switch around shifts, easy to transfer. I worked in four different stores over six years","on slow days I'd leave with 15 dollars! very corporate atmosphere, always feel on edge at work",
"""Seen better days. The corporate culture has taken over completely""",2.0," Jul 29, 2014",Current,Server,"Chino Hills, CA",No,No,Neutral,Part-time,More than 5 years,Great sense of camaraderie among team members... mgmt not so much. The pay is average but consistently getting worse with the thousands of coupons and deals we hand out wouldn't be surprised if they started giving out a coupon for the tables and chairs.,"No communication whatsoever about ant menu changes or policies yet expected to abide by them. The corporation has been tightening their span of control and the atmosphere between mgmt and staff is much like a warden and inmates no trust. Within 5 years of working at the same location we have won restaurant of the year twice (a huge accomplishment supposedly) only to go through manager after manager and each new one making sure to tell us how we don't do things right...so tell me buddy, how did we get these awards then?",Quit with the revolving door in management. Whoever does the hiring please stop hiring frat boys youd find living next door to seth rogen and make sure they can actually handle the business. And if you do have to give me yet another general manager (going 5 in 5 years) make sure they have a clue or two about what they are doing
"""Positive.""",5.0," Jul 3, 2014",Past,Anonymous Employee,,Yes,Yes,Neutral,Part-time,More than a year,Great potential for growth.,Easy to get over looked.,Keep up the good work.
"""Hard work, but great people""",4.0," Jul 2, 2014",Past,Service Assistant,"Gainesville, FL",No,Neutral,Neutral,Full-time,Less than a year,Professional level of food service - a place to be proud of<br>Great scheduling system<br>Comraderie amongst coworkers<br>Recognition and appreciation for hard work,"Hard work - lots of heavy lifting, walking, and competing demands<br>Lower-tier workers tend to get the short end of the stick (servers are prized)",Do not take advantage of your hardest lower-tier workers - they are what your restaurant is built upon.
